meter_id,site_name,billing_period_start,billing_period_end,consumption_kwh,demand_kw,tariff_rate,tariff_code,supplier,account_number
MTR-001,HQ Building A,2024-03-15,2024-04-17,18450.00,62.5,0.112,COMM-HV-A,National Grid,ACC-10023
MTR-002,HQ Building B,2024-03-15,2024-04-17,9230.50,31.2,0.112,COMM-HV-A,National Grid,ACC-10024
MTR-003,Warehouse North,2024-03-20,2024-04-19,31200.00,98.7,0.098,IND-MV-B,PowerCo Ltd,ACC-20011
MTR-004,Warehouse South,2024-03-20,2024-04-19,28450.75,91.3,0.098,IND-MV-B,PowerCo Ltd,ACC-20012
MTR-005,Data Centre,2024-03-01,2024-03-31,54800.00,187.4,0.135,CRIT-HV-C,National Grid,ACC-10031
MTR-006,Canteen Block,2024-03-15,2024-04-17,2340.00,8.9,0.112,COMM-LV-D,National Grid,ACC-10025
MTR-007,Site 3 Factory,2024-03-22,2024-04-23,67300.50,215.6,0.091,IND-HV-A,RegionalPower,ACC-30005
MTR-008,Car Park Lighting,2024-03-15,2024-04-17,870.25,4.1,0.112,COMM-LV-D,National Grid,ACC-10026
MTR-003,Warehouse North,2024-04-19,2024-05-21,29800.00,94.2,0.098,IND-MV-B,PowerCo Ltd,ACC-20011
MTR-001,HQ Building A,2024-04-17,2024-05-16,17900.50,60.1,0.112,COMM-HV-A,National Grid,ACC-10023
MTR-005,Data Centre,2024-04-01,2024-04-30,,189.2,0.135,CRIT-HV-C,National Grid,ACC-10031
MTR-009,Annex Office,2024-03-15,2024-04-17,0.00,0.0,0.112,COMM-LV-D,National Grid,ACC-10041
MTR-007,Site 3 Factory,2024-04-23,2024-05-22,71200.00,228.3,0.091,IND-HV-A,RegionalPower,ACC-30005
MTR-002,HQ Building B,2024-04-17,2024-05-16,8950.25,30.4,0.112,COMM-HV-A,National Grid,ACC-10024
MTR-004,Warehouse South,2024-04-19,2024-05-20,27100.00,88.9,0.098,IND-MV-B,PowerCo Ltd,ACC-20012
