WERKS,MENGE,MEINS,BLDAT,MATNR,KOSTL,BKTXT,LIFNR
1001,500.00,L,01.04.2024,DIESEL-001,CC-1001,Monthly fuel fill - Generator A,VENDOR-001
1001,320.50,L,05.04.2024,DIESEL-001,CC-1001,Monthly fuel fill - Generator B,VENDOR-001
1002,1200.00,L,07.04.2024,PETROL-002,CC-2003,Fleet vehicle refuel - April batch,VENDOR-002
1001,85.00,KG,10.04.2024,LPG-003,CC-1001,LPG cylinder procurement - Canteen,VENDOR-003
1003,450.00,L,12.04.2024,DIESEL-001,CC-3005,Site 3 backup generator fuel,VENDOR-001
1002,200.00,M3,15.04.2024,NATGAS-004,CC-2003,Natural gas - Heating unit Q1,VENDOR-004
1001,310.00,L,18.04.2024,DIESEL-001,CC-1001,Generator fuel top-up,VENDOR-001
1004,95.50,KG,20.04.2024,LPG-003,CC-4002,LPG procurement - Warehouse heating,VENDOR-003
1002,780.00,L,22.04.2024,PETROL-002,CC-2003,Fleet refuel - Sales team vehicles,VENDOR-002
1003,150.00,M3,25.04.2024,NATGAS-004,CC-3005,Natural gas boiler top-up,VENDOR-004
1001,,L,28.04.2024,DIESEL-001,CC-1001,Fuel fill - quantity not recorded,VENDOR-001
1002,430.00,GAL,30.04.2024,DIESEL-001,CC-2003,Import shipment fuel - unverified unit,VENDOR-002
1004,260.00,L,30.04.2024,DIESEL-001,CC-4002,End of month generator refuel,VENDOR-001
1003,100.00,KG,02.05.2024,LPG-003,CC-3005,LPG restock - Site 3 canteen,VENDOR-003
1001,900.00,L,05.05.2024,PETROL-002,CC-1001,Fleet fuel - May batch Plant 1,VENDOR-002
